TIPO,ID,NOME,DEPENDENCIA
SUB,10502017,ELETRICIDADE E MAGNETISMO; CAMPOS E PARTÍCULAS CARREGADAS,10500006
SUB,10502025,ÓTICA,10500006
SUB,10502033,ACÚSTICA,10500006
SUB,10502041,TRANSFERÊNCIA DE CALOR; PROCESSOS TÉRMICOS E TERMODINÂMICOS,10500006
SUB,10502050,"MECÂNICA, ELASTICIDADE E REOLOGIA",10500006
SUB,10502068,DINÂMICA DOS FLUIDOS,10500006
SUB,10503005,FÍSICA DAS PARTÍCULAS ELEMENTARES E CAMPOS,10500006
SUB,10503013,TEORIA GERAL DE PARTÍCULAS E CAMPOS,10500006
SUB,10503021,TEOR.ESP.E MOD.DE INTERAÇÃO; SIST.DE PARTÍCULAS; R.CÓSMICOS,10500006
SUB,10503030,REAÇÕES ESPECÍFICAS E FENOMIOLOGIA DE PARTÍCULAS,10500006
SUB,10503048,PROPRIEDADES DE PARTÍCULAS ESPECÍFICAS E RESSONÂNCIAS,10500006
SUB,10504001,FÍSICA NUCLEAR,10500006
SUB,10504010,ESTRUTURA NUCLEAR,10500006
SUB,10504028,DESINTEGRAÇÃO NUCLEAR E RADIOATIVIDADE,10500006
SUB,10504036,REAÇÕES NUCLEARES E ESPALHAMENTO GERAL,10500006
SUB,10504044,REAÇÕES NUCLEARES E ESPALHAMENTO (REAÇÕES ESPECÍFICAS),10500006
SUB,10504052,PROPRIEDADES DE NÚCLEOS ESPECÍFICOS,10500006
SUB,10504060,MET.EXPER.E INSTRUMENT.PARA PART.ELEMENT.E FÍSICA NUCLEAR,10500006
SUB,10505008,FÍSICA ATÔMICA E MOLECULAR,10500006
SUB,10505016,ESTRUTURA ELETRÔNICA DE ÁTOMOS E MOLÉCULAS; TEORIA,10500006
SUB,10505024,ESPECTROS ATÔMICOS E INTEGRAÇÃO DE FÓTONS,10500006
SUB,10505032,ESPECTROS MOLECUL. E INTERAÇÕES DE FÓTONS COM MOLÉCULAS,10500006
SUB,10505040,PROCESSOS DE COLISÃO E INTERAÇÕES DE ÁTOMOS E MOLÉCULAS,10500006
SUB,10505059,INF.SOB.ATOM.E MOL.OBIT.EXPERIMENTALMENTE; INST.E TÉCNICAS,10500006
SUB,10505067,ESTUDOS DE ÁTOMOS E MOLÉCULAS ESPECIAIS,10500006
SUB,10506004,"FÍSICA DOS FLÚIDOS, FÍSICA DE PLASMAS E DESCARGAS ELÉTRICAS",10500006
SUB,10506012,CINÉTICA E TEOR.DE TRANSP.DE FLÚIDOS; PROPRIED.FIS.DE GASES,10500006
SUB,10506020,FÍSICA DE PLASMAS E DESCARGAS ELÉTRICAS,10500006
SUB,10507000,FÍSICA DA MATÉRIA CONDENSADA,10500006
SUB,10507019,ESTRUTURA DE LÍQUIDOS E SÓLIDOS; CRISTALOGRAFIA,10500006
SUB,10507027,PROPRIEDADES MECÂNICAS E ACÚSTICAS DA MATÉRIA CONDENSADA,10500006
SUB,10507035,DINÂMICA DA REDE E ESTATÍSTICA DE CRISTAIS,10500006
SUB,10507043,"EQUAÇÃO DE ESTADO, EQUILIB. DE FASES E TRANSIÇÕES DE FASES",10500006
SUB,10507051,PROPRIEDADES TÉRMICAS DA MATÉRIA CONDENSADA,10500006
SUB,10507060,PROPRIEDADES DE TRANSP.DE MATÉRIA COND. (NÃO ELETRÔNICAS),10500006
